ReportedYear,GeoDivision,Category,Subtype,Count_,CountCleared
2014,D42,Criminal Code Traffic ,Other,159,155
2014,D42,Other Criminal Code Violations,Other,407,368
2014,D42,Other Criminal Code Violations,Other Criminal Violations - Offensive Weapons,70,64
2014,D42,Other Federal Statute Violations,Other,21,21
2014,D43,Controlled Drugs and Substances Act,Other,316,305
2014,D43,Crimes Against Property,Auto Theft,218,34
2014,D43,Crimes Against Property,Break & Enter-Apartment,151,58
2014,D43,Crimes Against Property,Break & Enter-Commercial,81,32
2014,D43,Crimes Against Property,Break & Enter-House,191,82
2014,D43,Crimes Against Property,Break & Enter-Other,35,14
2014,D43,Crimes Against Property,Fraud,463,234
2014,D43,Crimes Against Property,Other,817,394
2014,D43,Crimes Against Property,Theft Over $5000,47,15
2014,D43,Crimes Against Property,Theft Under $5000,2178,1143
2014,D43,Crimes Against the Person,Assault,1315,1030
2014,D43,Crimes Against the Person,Attempt Murder,15,13
2014,D43,Crimes Against the Person,Other,478,326
2014,D43,Crimes Against the Person,Robbery-Financial,5,5
2014,D43,Crimes Against the Person,Robbery-Other,311,128
2014,D43,Crimes Against the Person,Sexual Violation,200,129
2014,D43,Criminal Code Traffic ,Other,164,161
2014,D43,Other Criminal Code Violations,Other,730,686
2014,D43,Other Criminal Code Violations,Other Criminal Violations - Offensive Weapons,104,97
2014,D43,Other Federal Statute Violations,Other,20,19
2014,D51,Controlled Drugs and Substances Act,Other,470,458
2014,D51,Crimes Against Property,Auto Theft,114,54
2014,D51,Crimes Against Property,Break & Enter-Apartment,212,66
2014,D51,Crimes Against Property,Break & Enter-Commercial,207,58
2014,D51,Crimes Against Property,Break & Enter-House,56,12
2014,D32,Crimes Against the Person,Other,294,174
2014,D51,Crimes Against Property,Break & Enter-Other,51,17
2014,D51,Crimes Against Property,Fraud,350,126
2014,D51,Crimes Against Property,Other,909,410
2014,D51,Crimes Against Property,Theft Over $5000,74,19
2014,D51,Crimes Against Property,Theft Under $5000,3505,841
2014,D51,Crimes Against the Person,Assault,1196,826
2014,D51,Crimes Against the Person,Attempt Murder,9,6
2014,D51,Crimes Against the Person,Other,274,142
2014,D51,Crimes Against the Person,Robbery-Financial,4,4
2014,D51,Crimes Against the Person,Robbery-Other,292,126
2014,D51,Crimes Against the Person,Sexual Violation,187,98
2014,D51,Criminal Code Traffic ,Other,73,73
2014,D51,Other Criminal Code Violations,Other,706,667
2014,D51,Other Criminal Code Violations,Other Criminal Violations - Offensive Weapons,90,84
2014,D51,Other Federal Statute Violations,Other,23,23
2014,D52,Controlled Drugs and Substances Act,Other,275,273
2014,D52,Crimes Against Property,Auto Theft,67,21
2014,D52,Crimes Against Property,Break & Enter-Apartment,70,24
2014,D52,Crimes Against Property,Break & Enter-Commercial,127,56
2014,D52,Crimes Against Property,Break & Enter-House,9,2
2014,D52,Crimes Against Property,Break & Enter-Other,33,13
2014,D52,Crimes Against Property,Fraud,556,272
2014,D52,Crimes Against Property,Other,815,395
